source,target,lunch
cilantro,pepper,5
cilantro,shrimp,6
cilantro,tomato,6
citrus,fennel,5
citrus,herb,7
citrus,leafy green,6
citrus,onion,7
citrus,orange,7
clam,potato,5
corn,milk/cream,8
corn,potato,6
corn,tomato,8
crab,tomato,5
cream cheese,salmon,8
cucumber,feta,5
cucumber,fish,5
cucumber,ginger,5
cucumber,leafy green,5
cucumber,mint,7
cucumber,radish,5
cucumber,shrimp,8
cucumber,tomato,16
cucumber,yogurt,5
curry,potato,5
curry,yogurt,5
egg,ham,10
egg,herb,10
egg,leafy green,5
egg,lettuce,5
egg,mayonnaise,7
egg,milk/cream,9
egg,mushroom,7
egg,olive,5
egg,onion,9
egg,parmesan,5
egg,pork,6
egg,potato,8
egg,salmon,5
egg,spinach,6
egg,swiss cheese,6
egg,tomato,10
eggplant,tomato,11
endive,leafy green,5
fennel,olive,5
feta,leafy green,5
feta,tomato,8
fish,herb,6
fish,leafy green,7
fish,lemon,5
fish,lettuce,8
fish,mayonnaise,9
fish,onion,6
fish,salmon,18
fish,sour cream,6
fish,tomato,9
fish,trout,5
fish,tuna,7
garlic,herb,11
garlic,hot pepper,5
garlic,leafy green,7
garlic,lemon,5
garlic,onion,11
garlic,pasta,8
garlic,pork,5
garlic,tomato,12
ginger,onion,6
ginger,soy sauce,6
ginger,tomato,5
goat cheese,leafy green,8
goat cheese,onion,7
goat cheese,spinach,5
goat cheese,tomato,12
ham,mushroom,5
ham,prosciutto,5
ham,swiss cheese,8
herb,leafy green,9
herb,milk/cream,6
herb,mint,10
herb,onion,9
herb,parmesan,6
herb,parsley,10
herb,pasta,8
herb,pork,6
herb,potato,5
herb,prosciutto,6
herb,salmon,5
herb,tarragon,5
herb,tomato,14
hot pepper,onion,6
hot pepper,pepper,6
hot pepper,tomato,7
leafy green,lemon,5
leafy green,lettuce,14
leafy green,mayonnaise,7
leafy green,mushroom,5
leafy green,mustard,5
leafy green,onion,9
leafy green,parmesan,9
leafy green,pine nut,5
leafy green,poultry,5
leafy green,shrimp,5
leafy green,spinach,5
leafy green,tomato,13
leek,milk/cream,5
leek,potato,6
lemon,lettuce,5
lemon,mayonnaise,5
lemon,salmon,5
lettuce,parmesan,7
lettuce,salmon,6
lettuce,sour cream,5
lettuce,tomato,10
lobster,tomato,5
mayonnaise,mustard,9
mayonnaise,onion,9
mayonnaise,poultry,5
mayonnaise,tarragon,8
milk/cream,mushroom,6
milk/cream,onion,7
milk/cream,pasta,8
milk/cream,pork,7
milk/cream,potato,14
milk/cream,shrimp,5
milk/cream,tomato,10
milk/cream,white wine,5
mint,parsley,9
mint,tomato,7
mozzarella,olive,5
mozzarella,pasta,5
mozzarella,tomato,12
mushroom,onion,7
mushroom,parmesan,7
mushroom,pasta,6
mushroom,spinach,5
mushroom,tomato,7
mussel,shrimp,6
mustard,onion,5
noodle,pasta,8
noodle,pork,5
noodle,soy sauce,5
olive,onion,8
olive,pasta,5
olive,tomato,15
olive,tuna,6
onion,parsley,5
onion,pasta,8
onion,pepper,8
onion,pork,11
onion,potato,7
onion,poultry,6
onion,tomato,27
parmesan,pasta,9
parmesan,prosciutto,8
parmesan,tomato,8
parsley,tomato,11
pasta,sausage,5
pasta,tomato,21
pea,potato,5
pepper,tomato,5
pork,potato,5
pork,sausage,11
pork,tomato,7
potato,tomato,8
poultry,tomato,6
prosciutto,tomato,6
radish,tomato,7
radish,tuna,5
salmon,sour cream,5
sausage,tomato,6
scallop,shrimp,5
shrimp,tomato,11
tarragon,tomato,8
tarragon,zucchini,5
tomato,tortillas,8
tomato,tuna,5
tomato,zucchini,7
